Názov obce,GPS,Názov obce (google maps),Okres,GPS,Okres (google maps),Čas autom,Čas autom (sekundy),Vzdialenosť autom,Vzdialenosť autom (metre)
Bojničky,"[48.38945704, 17.80253317]","Bojničky 361, 920 55 Bojničky, Slovakia",Hlohovec,"[48.42500844, 17.80184837]","SNP 872/21A, 920 01 Hlohovec, Slovakia",9 mins,534,6.1 km,6114
Červeník,"[48.46395766, 17.76050175]","Štúrova 423/1, 920 42 Červeník, Slovakia",Hlohovec,"[48.42500844, 17.80184837]","SNP 872/21A, 920 01 Hlohovec, Slovakia",12 mins,740,6.7 km,6718
Dolné Otrokovce,"[48.46703387, 17.91316038]","Dolné Otrokovce 68, 920 61 Dolné Otrokovce, Slovakia",Hlohovec,"[48.42500844, 17.80184837]","SNP 872/21A, 920 01 Hlohovec, Slovakia",19 mins,1147,15.8 km,15817
Dolné Trhovište,"[48.4424357, 17.90600474]","Dolné Trhovište 88, 920 61 Dolné Trhovište, Slovakia",Hlohovec,"[48.42500844, 17.80184837]","SNP 872/21A, 920 01 Hlohovec, Slovakia",17 mins,997,11.5 km,11471
Dvorníky,"[48.35536754, 17.78536247]","Cesta na Varhid, 920 56 Dvorníky, Slovakia",Hlohovec,"[48.42500844, 17.80184837]","SNP 872/21A, 920 01 Hlohovec, Slovakia",13 mins,804,10.5 km,10473
Hlohovec,"[48.42500844, 17.80184837]","SNP 872/21A, 920 01 Hlohovec, Slovakia",Hlohovec,"[48.42500844, 17.80184837]","SNP 872/21A, 920 01 Hlohovec, Slovakia",1 min,0,1 m,0
Horné Otrokovce,"[48.49025602, 17.87971643]","1315, 920 62 Horné Otrokovce, Slovakia",Hlohovec,"[48.42500844, 17.80184837]","SNP 872/21A, 920 01 Hlohovec, Slovakia",14 mins,853,11.9 km,11888
Jalšové,"[48.50415148, 17.83897746]","Jalšové 69, 922 31 Jalšové, Slovakia",Hlohovec,"[48.42500844, 17.80184837]","SNP 872/21A, 920 01 Hlohovec, Slovakia",16 mins,973,11.5 km,11485
Kľačany,"[48.38938662, 17.87074526]","Kľačany 270, 920 64 Kľačany, Slovakia",Hlohovec,"[48.42500844, 17.80184837]","SNP 872/21A, 920 01 Hlohovec, Slovakia",10 mins,570,7.5 km,7514
Koplotovce,"[48.48505964, 17.81489516]","507, Jalšové, Slovakia",Hlohovec,"[48.42500844, 17.80184837]","SNP 872/21A, 920 01 Hlohovec, Slovakia",10 mins,619,7.9 km,7932
Leopoldov,"[48.44416546, 17.76970212]","Rázusova 8, 920 41 Leopoldov, Slovakia",Hlohovec,"[48.42500844, 17.80184837]","SNP 872/21A, 920 01 Hlohovec, Slovakia",9 mins,518,4.4 km,4425
Madunice,"[48.48856859, 17.78334053]","1267, 922 42 Madunice, Slovakia",Hlohovec,"[48.42500844, 17.80184837]","SNP 872/21A, 920 01 Hlohovec, Slovakia",14 mins,843,10.0 km,9986
Merašice,"[48.46477589, 17.94322925]","Merašice 44, 920 61 Merašice, Slovakia",Hlohovec,"[48.42500844, 17.80184837]","SNP 872/21A, 920 01 Hlohovec, Slovakia",20 mins,1190,15.6 km,15624
Pastuchov,"[48.41881607, 17.886079]","1676, 920 63 Pastuchov, Slovakia",Hlohovec,"[48.42500844, 17.80184837]","SNP 872/21A, 920 01 Hlohovec, Slovakia",16 mins,930,10.9 km,10891
Sasinkovo,"[48.36649631, 17.84567726]","920 65 Sasinkovo, Slovakia",Hlohovec,"[48.42500844, 17.80184837]","SNP 872/21A, 920 01 Hlohovec, Slovakia",12 mins,744,10.2 km,10179
Siladice,"[48.36075574, 17.7301932]","Unnamed Road, 920 52 Siladice, Slovakia",Hlohovec,"[48.42500844, 17.80184837]","SNP 872/21A, 920 01 Hlohovec, Slovakia",16 mins,938,12.5 km,12522
Trakovice,"[48.43943612, 17.7139763]","513, 919 33 Trakovice, Slovakia",Hlohovec,"[48.42500844, 17.80184837]","SNP 872/21A, 920 01 Hlohovec, Slovakia",9 mins,542,7.1 km,7054
Žlkovce,"[48.46021382, 17.71296895]","1311, 920 42 Žlkovce, Slovakia",Hlohovec,"[48.42500844, 17.80184837]","SNP 872/21A, 920 01 Hlohovec, Slovakia",15 mins,872,11.1 km,11067
Ratkovce,"[48.4735334, 17.71655225]","1312, 920 42 Ratkovce, Slovakia",Hlohovec,"[48.42500844, 17.80184837]","SNP 872/21A, 920 01 Hlohovec, Slovakia",17 mins,1038,13.6 km,13633
Dolné Zelenice,"[48.37984231, 17.74686808]","Dolné Zelenice 206, 920 52 Dolné Zelenice, Slovakia",Hlohovec,"[48.42500844, 17.80184837]","SNP 872/21A, 920 01 Hlohovec, Slovakia",13 mins,757,9.6 km,9555
